,text,type,client_gender,client_age
0,"Karin zou beter alleen blijven schrijven. Ik had er niet op gelet dat er verschillende schrijvers hun stuk hadden geschreven maar éénmaal aan het tweede hoofdstuk begonnen had ik het al vlug door!! Neen, geef mij maar de 'zuivere' Slaughters!! Die zijn PRIMA.",0,unk,unk
1,"Geweldig spannend boek, voorál de tweede helft. Zeer prettige schrijfstijl. Mooi hoe alles op het eind in elkaar past. Ik heb het eerste boek ""peperkoekenhuis"" over dezelfde inspecteur niet gelezen maar dit was niet storend. Ben benieuwd naar haar derde boek, wat er bijna zeker zal komen gezien het eind. Het is geen open einde, maar je bent wel nieuwsgierig hoe het inspecteur Conny verder zal vergaan.",1,unk,unk
2,"Robijnrood is het eerste deel van de Edelsteen-trilogie geschreven door de Duitse bestsellerauteur Kerstin Gier. In Nederland is deze trilogie uitgegeven door Blossom Books en omdat de trilogie vijf jaar bestaat in een jubilieumeditie verschenen. Dat houdt onder andere in dat Robijnrood met een andere cover is uitgegeven en dat de pagina’s op de snijkant een rood kleurtje hebben gekregen.    Gwendolyn Sheperd is 16 jaar en woont samen met haar familie in een groot landhuis in hartje Londen. De familie van Gwen is op zijn zachtst gezegd een beetje raar. Gwendolyn kan met geesten praten, oudtante Maddy heeft rare visioenen en in de familie is sprake van een tijdreisgen. Volgens de mythe zou Gwendolyns nichtje Charlotte draagster van dit gen zijn. Zij is immers op 7 oktober geboren, wat volgens de legende dé geboortedatum is van de volgende gendraagster. Toch maakt niet Charlotte de sprong naar het verleden, maar Gwen, die dacht op 8 oktober geboren te zijn. Na deze tijdsprong ontdekt Gwen dat haar familie vele geheimen met zich meedraagt en dat zij in staat is die een voor een te gaan ontdekken. Daarvoor moet ze wel naar het verleden reizen, samen met een wel hele knappe jongen, Gideon. Op wie ze ook nog eens verliefd dreigt te worden.    Elk nieuw hoofdstuk wordt voorafgegaan door afwisselend een gedicht of tekst van Shakespeare of een stukje informatie over het raadsel van het tijdreisgen. Zo wordt er een keer een stamboom van de tijdreizigers gegeven, maar krijgt de lezer ook ervaringen van oude tijdreizigers of regels van het tijdreizen te lezen. Hierdoor wordt de lezer betrokken bij het verhaal en krijgt zij het idee toegelaten te worden tot het raadsel waarmee Gwen geconfronteerd wordt. Bovendien klopt het hele verhaal. Het hele boek past wat dat betreft als een puzzel in elkaar. Gier is voor dit boek naar Londen afgereisd, heeft de geschiedenis bestudeerd en las ze zich onder andere in in de kwantummechanica. Een goede voorbereiding die zeker bij heeft gedragen aan het succes van deze boeken.    Daarnaast weet Gier goed de spanning op te bouwen. Ze laat veel open gaten over, die ze waarschijnlijk in boek 2 en 3 zal invullen. Zo kun je al lezer niet met zekerheid zeggen wie de twee personages in de proloog en epiloog zijn en blijft het geheim dat onthuld zal worden als het bloed van de twaalf tijdreizigers in de chronograaf (het instrument waarmee Gwen kan tijdreizen) zit een heel groot raadsel. Deel 1 dient dus met name om de spanning op te bouwen en om de lezer inzicht te geven in de complexe wereld waarin Gwen terechtkomt.    Ondanks de uitstekende uitwerking en de spanning krijgt dit boek geen 5, maar 4 sterren. Dat komt doordat het tempo in dit eerste deel redelijk laag ligt. Dat is wel begrijpelijk, omdat de situatie waarin Gwen terechtkomt complex te noemen is en omdat er soms met moeilijke termen gesmeten wordt. Er wordt dus veel uitgelegd en er gebeurt redelijk weinig. Toch hindert dat niet tijdens het lezen, omdat de lezer zelf ook ingewijd moet worden in de tijdreiswereld, met alle moeilijke informatie van dien. Robijnrood is dus een prima eerste deel van de trilogie, het maakt de lezer wegwijs en zorgt er zeker voor dat deel 2: Saffierblauw ook bij de boekhandel of bibliotheek gehaald zal worden!",1,unk,unk
3,"Het verhaal start als een vlot geschreven en meeslepend detective-verhaal, maar dat verandert halverwege in een bizar en ongeloofwaardig sf-verhaal. Soms hangt het verhaal met haken en ogen aan elkaar en er worden meermaals zulke sprongen gemaakt, dat je deindruk hebt om enkele hoofdstukken gemist te hebben On The Come Up is een krachtig verhaal over hip hop, vrijheid van meningsuiting en vechten voor je dromen, ook al werken je omstandigheden niet mee. Schrijf je in voor de Epic Reads-leesclub! We gaan Wil van Jeroen Olyslaegers luisteren via de gratis Hebban Luisterboeken-app. Doe je mee? 'Wat beweegt de jonge zwarte deelpachter Tucker Caliban om huis, vee en akkers te vernietigen en met vrouw en kind naar het Noorden te vertrekken?'- Win Uit de maat voor je hele leesgroep!",0,unk,unk
4,"Olivia, journaliste en schrijfster, is net getrouwd met Jay, een succesvol voetbaltrainer. Zij is nieuw in het voetbalwereldje en voelde zich er in Engeland totaal niet in thuis. Nog maar net terug in Nederland, waar ze een frisse start wel ziet zitten, krijgt Jay een contract als voetbaltrainer op Cyprus. Daar gaan ze weer… Gelukkig is het tropische Cyprus héél anders dan Engeland en maakt Kyra daar wel snel vriendinnen onder de andere voetbalvrouwen. Maar dan komt ze er langzaamaan achter dat er een hoop ellende schuilt achter alle glitter en glamour, en dat de mannen (en de vrouwen…) het niet zo nauw nemen met huwelijkse trouw. Zij en Jay zijn anders, zij zijn écht gelukkig samen. Toch?  Wat een heerlijk verhaal is dit! De nuchtere en misschien wat naïeve Olivia is een verademing tussen de ‘echte’ voetbalvrouwen vol uiterlijke schijn. Zij gelooft nog echt in liefde en trouw en je hoopt maar dat haar vertrouwen niet beschaamd wordt.  Het verhaal leest heerlijk vlot, is lekker luchtig, heeft humor en een fijn zomers sfeertje. Een ideaal zomerboek dus! (of daarna om een zonnetje in huis te brengen ;) ) Ik heb van begin tot eind zitten smullen van alle intriges in dit smeuïge verhaal! Het leest als een heerlijk dramatische soap :D Genieten!! 'Wat beweegt de jonge zwarte deelpachter Tucker Caliban om huis, vee en akkers te vernietigen en met vrouw en kind naar het Noorden te vertrekken?'- Win Uit de maat voor je hele leesgroep! 'Het is autobiografisch, helemaal waargebeurd maar toch zie je elementen van fictie in de stijl en vooral de opbouw, dat maakt het des te sterker.' - Win boeken voor je hele leesclub! We gaan Wil van Jeroen Olyslaegers luisteren via de gratis Hebban Luisterboeken-app. Doe je mee?",1,unk,unk
5,"Ik had meer van dit boek verwacht. Normaal gesproken zijn Scandinavische thrillers bloedstollend spannend maar deze niet. Het verhaal kabbelt maar een beetje door en er is geen moment waarvan je denkt: zo wat spannend, ik moet verder lezen. Het heeft op mij geen indruk achter gelaten.",0,unk,unk
6,"Eerder al las ik het boek Superchef van Anne West, ik vond dit een heerlijk boek om te lezen en was daarom erg nieuwsgierig of ik van Lekker is dat! ook zo zou genieten. Het antwoord is JA, ook dit boek vond ik weer geweldig, een echte chicklit met de daarbij behorende ingrediënten, humor en liefde! Er waren momenten tijdens het lezen dat ik echt even hardop zat te lachen, gelukkig lees ik meestal alleen in een ruimte anders zouden mensen nog gaan denken...  Beide hoofdpersonen vond ik sympathiek en ik kon me in beiden goed verplaatsen. De schrijfstijl van Anne West is precies zoals ik het fijn vind, lekker vlotjes zonder poespas. Het verhaal is te luchtig om lang te blijven hangen maar daarom lees ik zo graag een chicklit tussendoor, gewoon lekker lezen en genieten van het verhaal zonder dat je teveel hoeft na te denken. Wat mij betreft een aanrader als je van dit genre houd.",1,unk,unk
7,"Verminkte toekomst is het vierde deel uit de VT-reeks ( alle titels bestaan uit twee woorden beginnend met een V en een T. van Melissa Skaye. met in de hoofdpersonen de rechercheurs Sanne Philips en Luca Borra. Sanne Philips is opgegroeid bij haar groothouders, nadat haar moeder op 10-jarige leeftijd verdween. Vierentwintig jaar later ontvangt Sanne een envelop met daarin de ketting van haar moeder, een cadeau dat zij kort voor de verdwijning zelf aan haar heeft gegeven. Op advies van een paragnost duikt ze naast haar werk haar verleden in. De vermissing van een vrouw en een kindermishandeling slokken bijna al haar tijd op. Samen met haar collega’s zet Sanne haar zoektocht voor en schuwt daarbij niet om risico’s te nemen, of zoals zij zelf zegt, haar onderbuik gevoel te volgen.   Verminkte toekomst is een vlot geschreven spannend verhaal in twee verhaallijnen, waarbij je als lezer wel de verbinding ziet , maar waar de hoofdpersonen geel idee van hebben. Doordat regelmatig een korte toelichting wordt gegeven over gebeurtenissen uit de vorige delen is het boek ook als afzonderlijk deel te lezen. Het boek zit vol actie, hier en daar gruwelijk met een verrassend einde. Een boek wat je achter elkaar uit wil lezen.  Een aanrader voor ieder die van een spannende thriller houdt.  Ik geef het boek 4 sterren . We gaan Wil van Jeroen Olyslaegers luisteren via de gratis Hebban Luisterboeken-app. Doe je mee? 'Het is autobiografisch, helemaal waargebeurd maar toch zie je elementen van fictie in de stijl en vooral de opbouw, dat maakt het des te sterker.' - Win boeken voor je hele leesclub! 'Wat beweegt de jonge zwarte deelpachter Tucker Caliban om huis, vee en akkers te vernietigen en met vrouw en kind naar het Noorden te vertrekken?'- Win Uit de maat voor je hele leesgroep!",1,unk,unk
8,"Voor de Hebban leesclub in feuilletonvorm mocht ik het tweede deel van De Cazaletfamilie lezen. Ik had er zin in! Lezen in feuilletonvorm had ik nog nooit gedaan en de beschrijving van het boek, een familie in de oorlog, klonk interessant. Het tweede boek was zonder het eerste boek te lezen.  Daar wil ik graag anders over adviseren. Dit 2e deel is in het begin heel verwarrend als je niet het 1e deel hebt gelezen én geen stamboom van de familie naast het boek houdt. Het is geen kleine familie, de Cazalets, met alle aanhang, kinderen, personeel, vriendschappen en relaties. Het is moeilijk om overzicht te houden. Zo niet, ondoenlijk. En dat is jammer, want daardoor genoot ik minder van het verhaal.  Het is een mooi verhaal, over een redelijk welgestelde familie in Engeland vlak voor het uitbreken van de oorlog. Je volgt hen gedurende twee jaar en de lezer wordt meegenomen in de gevolgen voor de oorlog voor de burgerij. Er worden voorzorgmaatregelen getroffen, later moeten er dingen op rantsoen, het wordt moeilijker om het huis te verwarmen en de spullen moeten worden gerepareerd i.p.v. vervangen. Ondertussen blijven het natuurlijk mensen, met geheimen, intriges en emoties.  De Tweede Wereldoorlog wordt, voor mij als leek, goed beschreven. Qua tijdspad lijkt het behoorlijk reëel te zijn. Hoe de oorlog steeds meer verweven raakt in de levens van de Cazalets, is mooi gedaan.  Waarom geef ik dan toch maar twee sterren? Ik heb deel 1 niet gelezen, en door het tempo van de leesclub, had ik ook geen tijd om dat deel nog te lezen. Hierdoor miste ik echt essentiële informatie. Ook wordt het verhaal, voor mijn smaak, vanuit te veel personages geschreven. Als lezer leer je zo veel figuren kennen, maar het blijft aan de oppervlakte omdat het er zo veel zijn. Sommige figuren hoeven niet aan bod te komen, en andere figuren mogen (nog) meer aandacht. Ten slotte zijn er erg weinig hoofdstukken en wordt er regelmatig van hak op de tak gesprongen. Hierdoor overkwam het mij nog wel eens dat ik even terug moest lezen of er een bruggetje was, of hoe het verhaal ineens een andere kant op kon gaan, en ik lees het liefste tot het einde van een hoofdstuk, wat er in dit boek voor kan zorgen dat je 150 bladzijden moet lezen in één keer.  Ach, laat ik positief eindigen. Het is een onderhoudend verhaal, en liefhebbers van familieromans kunnen hun hart absoluut ophalen in dit boek.  Neem dan alsjeblieft mijn tip ter harte: lees eerst deel 1 en houd de stamboom naast het boek. We gaan Wil van Jeroen Olyslaegers luisteren via de gratis Hebban Luisterboeken-app. Doe je mee? 'Wat beweegt de jonge zwarte deelpachter Tucker Caliban om huis, vee en akkers te vernietigen en met vrouw en kind naar het Noorden te vertrekken?'- Win Uit de maat voor je hele leesgroep! 'Het is autobiografisch, helemaal waargebeurd maar toch zie je elementen van fictie in de stijl en vooral de opbouw, dat maakt het des te sterker.' - Win boeken voor je hele leesclub!",0,unk,unk
9,"Prachtig boek die ook verfilmd is. Ik heb het boek filmeditie gelezen. Aangrijpend en leerzaam boek, zeker voor de jeugd. Eigenlijk zou iedere tiener dit boek moeten lezen, zodat ze kunnen lezen hoe loverboys te werk gaan. Ook het onderwerp incest komt aan de orde en de gevolgen daarvan. 4 duimpjes",1,unk,unk
